W_0 Ep: 1591 | Ep_r: -234
W_2 Ep: 1592 | Ep_r: -224
W_4 Ep: 1593 | Ep_r: -215
W_7 Ep: 1594 | Ep_r: -235
W_3 Ep: 1595 | Ep_r: -264
W_1 Ep: 1596 | Ep_r: -250
W_5 Ep: 1597 | Ep_r: -252
W_6 Ep: 1598 | Ep_r: -253
W_0 Ep: 1599 | Ep_r: -264
W_2 Ep: 1600 | Ep_r: -264
W_4 Ep: 1601 | Ep_r: -251
W_7 Ep: 1602 | Ep_r: -226
W_3 Ep: 1603 | Ep_r: -256
W_1 Ep: 1604 | Ep_r: -270
W_5 W_6 Ep: 1605Ep: 1605  | Ep_r: -286
| Ep_r: -300
W_0 Ep: 1607 | Ep_r: -296
W_2 Ep: 1608 | Ep_r: -280
W_4 Ep: 1609 | Ep_r: -292
W_7 Ep: 1610 | Ep_r: -329
W_3 Ep: 1611 | Ep_r: -323
W_1 Ep: 1612 | Ep_r: -317
W_5 Ep: 1613 | Ep_r: -354
W_6 Ep: 1614 | Ep_r: -371
W_0 Ep: 1615 | Ep_r: -409
W_2 Ep: 1616 | Ep_r: -409
W_4 Ep: 1617 | Ep_r: -423
W_7W_3 Ep: 1618 | Ep_r: -446
 Ep: 1618 | Ep_r: -407
W_1 Ep: 1620 | Ep_r: -401
W_5 Ep: 1621 | Ep_r: -402
W_6 Ep: 1622 | Ep_r: -406
W_0 Ep: 1623 | Ep_r: -379
W_2 Ep: 1624 | Ep_r: -367
W_4 Ep: 1625 | Ep_r: -344
W_3 Ep: 1626 | Ep_r: -366
W_5W_7 Ep: 1627 Ep: 1627 | Ep_r: -404
 | Ep_r: -397
W_1 Ep: 1629 | Ep_r: -376
W_6 Ep: 1630 | Ep_r: -352
W_0 Ep: 1631 | Ep_r: -330
W_2 Ep: 1632 | Ep_r: -349
W_4 Ep: 1633 | Ep_r: -327
W_3 Ep: 1634 | Ep_r: -347
W_5 Ep: W_7 Ep: 1635 | Ep_r: -353
1635 | Ep_r: -363
W_1 Ep: 1637 | Ep_r: -331
